pr_diff,odd_value,total_matches,win_count,lose_count,win_percentage,lose_percentage
-5.7,2.0,1,0,1,0.0,100.0
-4.6,1.5,1,1,0,100.0,0.0
-4.4,1.0,1,1,0,100.0,0.0
-4.3,1.45,1,1,0,100.0,0.0
-4.2,1.15,1,1,0,100.0,0.0
-4.0,1.5,1,1,0,100.0,0.0
-3.9,1.1,1,0,1,0.0,100.0
-3.9,1.15,1,1,0,100.0,0.0
-3.9,1.3,1,0,1,0.0,100.0
-3.8,1.1,1,1,0,100.0,0.0
-3.7,1.05,1,0,1,0.0,100.0
-3.7,1.25,1,1,0,100.0,0.0
-3.7,2.95,1,0,1,0.0,100.0
-3.5,1.05,1,0,1,0.0,100.0
-3.5,1.2,1,0,1,0.0,100.0
-3.4,1.2,1,1,0,100.0,0.0
-3.4,1.5,1,0,1,0.0,100.0
-3.4,1.55,1,1,0,100.0,0.0
-3.4,1.7,1,0,1,0.0,100.0
-3.3,1.0,1,1,0,100.0,0.0
-3.3,1.2,1,1,0,100.0,0.0
-3.3,1.35,1,1,0,100.0,0.0
-3.2,1.1,1,1,0,100.0,0.0
-3.2,1.3,1,1,0,100.0,0.0
-3.1,1.6,2,1,1,50.0,50.0
-3.0,1.1,2,2,0,100.0,0.0
-3.0,1.5,1,1,0,100.0,0.0
-2.9,1.2,2,0,2,0.0,100.0
-2.9,1.4,1,1,0,100.0,0.0
-2.9,1.45,1,0,1,0.0,100.0
-2.9,1.7,1,0,1,0.0,100.0
-2.9,2.05,1,0,1,0.0,100.0
-2.8,1.25,1,0,1,0.0,100.0
-2.8,1.4,2,2,0,100.0,0.0
-2.8,1.65,1,0,1,0.0,100.0
-2.8,2.1,1,0,1,0.0,100.0
-2.7,1.05,1,1,0,100.0,0.0
-2.7,1.4,2,2,0,100.0,0.0
-2.7,2.05,1,1,0,100.0,0.0
-2.7,2.1,1,1,0,100.0,0.0
-2.7,2.75,1,0,1,0.0,100.0
-2.7,2.9,1,0,1,0.0,100.0
-2.6,1.05,1,1,0,100.0,0.0
-2.6,1.15,1,1,0,100.0,0.0
-2.6,1.25,2,1,1,50.0,50.0
-2.6,1.5,1,1,0,100.0,0.0
-2.6,2.0,1,0,1,0.0,100.0
-2.6,2.2,1,1,0,100.0,0.0
-2.5,1.0,1,1,0,100.0,0.0
-2.5,1.1,2,2,0,100.0,0.0
-2.5,1.15,1,1,0,100.0,0.0
-2.5,1.4,1,0,1,0.0,100.0
-2.5,1.8,2,1,1,50.0,50.0
-2.5,3.15,1,0,1,0.0,100.0
-2.4,1.1,2,1,1,50.0,50.0
-2.4,1.35,1,1,0,100.0,0.0
-2.4,1.4,1,1,0,100.0,0.0
-2.4,1.45,2,0,2,0.0,100.0
-2.4,1.6,1,0,1,0.0,100.0
-2.4,1.65,1,0,1,0.0,100.0
-2.4,1.8,1,1,0,100.0,0.0
-2.4,1.9,1,0,1,0.0,100.0
-2.3,1.2,1,0,1,0.0,100.0
-2.3,1.25,1,0,1,0.0,100.0
-2.3,1.3,2,1,1,50.0,50.0
-2.3,1.35,1,0,1,0.0,100.0
-2.3,1.4,1,0,1,0.0,100.0
-2.3,1.45,1,1,0,100.0,0.0
-2.3,1.55,2,2,0,100.0,0.0
-2.3,1.65,2,2,0,100.0,0.0
-2.3,1.75,1,1,0,100.0,0.0
-2.3,1.8,1,1,0,100.0,0.0
-2.3,2.2,1,1,0,100.0,0.0
-2.3,2.5,1,0,1,0.0,100.0
-2.2,1.0,1,1,0,100.0,0.0
-2.2,1.25,1,1,0,100.0,0.0
-2.2,1.3,2,2,0,100.0,0.0
-2.2,1.4,1,1,0,100.0,0.0
-2.2,1.5,2,1,1,50.0,50.0
-2.2,1.55,1,1,0,100.0,0.0
-2.2,1.6,2,2,0,100.0,0.0
-2.2,1.65,1,0,1,0.0,100.0
-2.2,1.75,1,0,1,0.0,100.0
-2.2,1.8,1,1,0,100.0,0.0
-2.2,2.05,2,0,2,0.0,100.0
-2.2,2.65,1,1,0,100.0,0.0
-2.2,2.8,1,1,0,100.0,0.0
-2.1,1.05,1,1,0,100.0,0.0
-2.1,1.55,1,0,1,0.0,100.0
-2.1,1.6,2,1,1,50.0,50.0
-2.1,1.75,1,0,1,0.0,100.0
-2.1,2.1,3,1,2,33.33,66.67
-2.1,2.2,1,0,1,0.0,100.0
-2.1,2.25,1,0,1,0.0,100.0
-2.1,2.3,1,0,1,0.0,100.0
-2.1,3.15,1,1,0,100.0,0.0
-2.0,1.25,2,1,1,50.0,50.0
-2.0,1.35,3,1,2,33.33,66.67
-2.0,1.4,1,0,1,0.0,100.0
-2.0,1.45,1,0,1,0.0,100.0
-2.0,1.55,2,2,0,100.0,0.0
-2.0,1.65,1,1,0,100.0,0.0
-2.0,1.7,2,2,0,100.0,0.0
-2.0,1.85,2,1,1,50.0,50.0
-2.0,1.95,1,0,1,0.0,100.0
-2.0,2.35,1,0,1,0.0,100.0
-2.0,2.4,1,0,1,0.0,100.0
-2.0,2.45,1,0,1,0.0,100.0
-2.0,2.65,1,1,0,100.0,0.0
-2.0,2.85,1,0,1,0.0,100.0
-1.9,1.4,1,0,1,0.0,100.0
-1.9,1.45,1,1,0,100.0,0.0
-1.9,1.5,1,1,0,100.0,0.0
-1.9,1.55,2,1,1,50.0,50.0
-1.9,1.6,1,1,0,100.0,0.0
-1.9,1.65,1,0,1,0.0,100.0
-1.9,1.7,1,0,1,0.0,100.0
-1.9,1.95,1,1,0,100.0,0.0
-1.9,2.0,1,1,0,100.0,0.0
-1.9,2.05,1,1,0,100.0,0.0
-1.9,2.5,1,1,0,100.0,0.0
-1.9,5.6,1,0,1,0.0,100.0
-1.9,6.0,1,0,1,0.0,100.0
-1.8,1.15,1,1,0,100.0,0.0
-1.8,1.2,1,0,1,0.0,100.0
-1.8,1.35,1,1,0,100.0,0.0
-1.8,1.4,1,0,1,0.0,100.0
-1.8,1.45,2,2,0,100.0,0.0
-1.8,1.5,1,1,0,100.0,0.0
-1.8,1.55,2,2,0,100.0,0.0
-1.8,1.65,1,1,0,100.0,0.0
-1.8,1.7,1,1,0,100.0,0.0
-1.8,1.8,1,0,1,0.0,100.0
-1.8,1.85,1,1,0,100.0,0.0
-1.8,1.9,2,0,2,0.0,100.0
-1.8,1.95,1,0,1,0.0,100.0
-1.8,2.0,3,2,1,66.67,33.33
-1.8,2.15,2,0,2,0.0,100.0
-1.8,2.2,1,0,1,0.0,100.0
-1.8,2.4,1,0,1,0.0,100.0
-1.8,2.5,1,0,1,0.0,100.0
-1.8,2.85,1,0,1,0.0,100.0
-1.8,3.1,1,0,1,0.0,100.0
-1.8,3.45,1,0,1,0.0,100.0
-1.8,3.7,1,0,1,0.0,100.0
-1.7,1.2,1,1,0,100.0,0.0
-1.7,1.3,1,1,0,100.0,0.0
-1.7,1.4,1,1,0,100.0,0.0
-1.7,1.5,2,1,1,50.0,50.0
-1.7,1.55,4,3,1,75.0,25.0
-1.7,1.6,2,2,0,100.0,0.0
-1.7,1.75,1,0,1,0.0,100.0
-1.7,1.9,2,2,0,100.0,0.0
-1.7,2.0,2,1,1,50.0,50.0
-1.7,2.2,3,2,1,66.67,33.33
-1.7,2.45,1,0,1,0.0,100.0
-1.7,2.55,2,1,1,50.0,50.0
-1.7,2.65,2,0,2,0.0,100.0
-1.7,2.85,1,0,1,0.0,100.0
-1.7,3.05,1,1,0,100.0,0.0
-1.7,3.5,1,0,1,0.0,100.0
-1.7,4.2,1,0,1,0.0,100.0
-1.6,1.35,2,0,2,0.0,100.0
-1.6,1.4,1,0,1,0.0,100.0
-1.6,1.55,1,0,1,0.0,100.0
-1.6,1.65,2,1,1,50.0,50.0
-1.6,1.75,3,1,2,33.33,66.67
-1.6,1.8,2,0,2,0.0,100.0
-1.6,1.85,1,0,1,0.0,100.0
-1.6,1.9,4,2,2,50.0,50.0
-1.6,2.25,1,0,1,0.0,100.0
-1.6,2.3,3,0,3,0.0,100.0
-1.6,2.35,3,2,1,66.67,33.33
-1.6,2.45,1,0,1,0.0,100.0
-1.6,2.6,2,0,2,0.0,100.0
-1.6,2.85,1,1,0,100.0,0.0
-1.6,3.4,1,1,0,100.0,0.0
-1.6,3.6,1,0,1,0.0,100.0
-1.6,4.15,1,0,1,0.0,100.0
